citizen_id,party_voted_past,mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar27,mvar28,mvar29,mvar30,mvar31,mvar32,mvar33,actual_vote
C1,Tokugawa,0,0,18,0,0,0,0,9,0,0,0,0,3,0,0,0,0,2,0,0,0,0,15,0,0,3,25-35,1,0,Degree,6,AEC,AEC,Tokugawa
C2,Ebony,2,6,0,2,0,2,5,0,2,0,0,0,0,0,0,0,1,0,0,0,5,10,0,15,0,3,18-24,1,0,Masters,5,AEC,AEC,Ebony
C3,Cosmos,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,46-55,1,1,Masters,6,AMS,AMS,Cosmos
C4,Centaur,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,1,36-45,1,0,Degree,6,ACL,ANQ,Centaur
C5,Centaur,9,2,3,0,2,1,0,1,0,0,2,0,0,0,0,2,1,2,0,1,10,15,15,0,7,4,25-35,1,0,Primary,7,ARK,ARK,Centaur
C6,Tokugawa,0,3,8,0,0,0,1,1,0,0,0,0,1,0,0,0,1,2,0,0,0,15,15,0,0,3,46-55,1,1,Masters,8,ANQ,ANQ,Tokugawa
C7,Cosmos,0,3,1,0,4,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,5,0,0,3,2,25-35,1,0,Diploma,7,AVG,AVG,Cosmos
C8,Cosmos,0,0,2,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,0,15,1,25-35,1,0,Diploma,6,AJI,ANQ,Tokugawa
C9,Centaur,13,0,0,3,0,5,0,0,1,0,4,0,0,1,0,0,0,0,0,0,15,0,0,15,0,1,18-24,0,0,Degree,5,AEC,AHS,Centaur
C10,Ebony,8,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,15,0,0,0,4,46-55,0,1,Primary,6,ACL,AWD,Centaur
C11,Odyssey,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,36-45,0,0,Primary,7,AQX,ARM,Odyssey
C12,Cosmos,0,0,0,0,7,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,3,25-35,1,1,Masters,5,AJI,ACL,Cosmos
C13,Tokugawa,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,1,36-45,1,1,Degree,7,ANQ,ANQ,Tokugawa
C14,Odyssey,0,0,0,11,0,0,0,0,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,15,0,3,25-35,1,0,Degree,8,AQX,AHJ,Odyssey
C15,Centaur,13,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,36-45,1,0,Primary,7,ATI,ATI,Centaur
C16,Centaur,6,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,15,0,0,0,2,46-55,0,1,Degree,8,APH,ANQ,Tokugawa
C17,Ebony,3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,15,13,0,0,0,3,25-35,1,1,Masters,7,ACL,APH,Cosmos
C18,Centaur,3,2,0,0,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,15,15,0,0,15,4,18-24,0,0,Degree,7,AWT,AMS,Centaur
C19,Cosmos,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,25-35,0,0,Masters,6,AHR,AHR,Cosmos
C20,Cosmos,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,25-35,1,0,Diploma,7,AJI,AMS,Centaur
C21,Centaur,14,1,0,0,0,3,1,0,0,0,0,0,0,0,0,11,0,0,0,0,14,7,0,0,0,1,46-55,1,0,Degree,7,ARK,AHO,Centaur
C22,Ebony,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,1,25-35,1,0,Degree,6,ACL,AII,Odyssey
C23,Ebony,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,4,18-24,1,1,Degree,8,AUQ,AUQ,Ebony
C24,Odyssey,0,1,0,8,0,0,1,0,4,0,0,0,0,1,0,0,0,0,2,0,0,15,0,15,0,4,36-45,1,0,Masters,5,ADV,ADV,Odyssey
C25,Ebony,0,10,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,15,0,15,0,3,18-24,1,0,Masters,7,ASE,ASE,Ebony
C26,Ebony,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,15,0,0,0,4,46-55,1,0,Masters,4,AVO,AVO,Centaur
C27,Odyssey,0,6,0,10,0,0,0,0,3,0,0,0,0,1,0,0,3,0,2,0,0,15,0,15,0,1,46-55,1,0,Degree,7,ACD,ACD,Odyssey
C28,Cosmos,2,1,0,4,1,1,1,0,4,1,0,0,0,0,0,1,0,0,0,0,0,15,0,15,15,4,55+,1,0,Masters,6,AET,AET,Cosmos
C29,Odyssey,1,0,0,11,0,1,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15,15,4,46-55,1,0,Masters,8,AOT,AOT,Tokugawa
C30,Centaur,10,3,0,0,1,3,1,0,0,0,0,0,0,0,0,7,2,0,0,1,4,5,0,0,0,4,55+,0,0,Diploma,7,ARK,ARK,Cosmos
C31,Centaur,18,0,0,0,0,4,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,15,3,55+,1,0,Primary,7,ARK,ARK,Centaur
